"","sex","dept","province","hs","year"
"1","男","交叉信息研究院","上海","上海复旦大学附属中学",2013
"2","男","交叉信息研究院","安徽","合肥1中",2013
"3","男","交叉信息研究院","安徽","合肥一中",2013
"4","男","交叉信息研究院","江苏","江苏省天一中学",2013
"5","男","交叉信息研究院","河北","石家庄市第二中学",2013
"6","男","交叉信息研究院","河南","郑州一中",2013
"7","男","交叉信息研究院","浙江","杭州第二中学",2013
"8","女","人文学院","北京","清华大学附属中学",2013
"9","女","人文学院","北京","北京市十一学校",2013
"10","女","人文学院","安徽","歙县中学",2013
"11","女","人文学院","山东","济南市历城二中",2013
"12","女","人文学院","新疆","乌鲁木齐市八中",2013
"13","女","人文学院","新疆","喀什第二中学",2013
"14","女","人文学院","江苏","江苏省新海高级中学",2013
"15","女","人文学院","江苏","江苏省南通中学",2013
"16","女","人文学院","河南","郑州外国语学校",2013
"17","女","人文学院","河南","周口市郸城县一高",2013
"18","女","人文学院","浙江","杭州外语学校",2013
"19","女","人文学院","湖北","武汉外国语学校",2013
"20","女","人文学院","湖北","湖北省宜昌市夷陵中学",2013
"21","女","人文学院","湖南","长郡中学",2013
"22","女","人文学院","甘肃","临夏中学",2013
"23","女","人文学院","西藏","拉萨市区外高中应届毕业生",2013
"24","女","人文学院","贵州","兴义市八中",2013
"25","女","人文学院","辽宁","新民市高级中学",2013
"26","女","人文学院","重庆","秀山高级中学",2013
"27","女","人文学院","陕西","高新一中",2013
"28","女","人文学院","香港","STPAUL'SCONVENTSCHOOL(聖保祿學校)",2013
"29","女","人文学院","黑龙江","萨尔图其它中等学历学",2013
"30","男","人文学院","云南","云南师范大学附属中学",2013
"31","男","人文学院","四川","成都市外国语学校",2013
"32","男","人文学院","天津","益中学校",2013
"33","男","人文学院","安徽","金寨一中",2013
"34","男","人文学院","广东","广东仲元中学",2013
"35","男","人文学院","河北","围场县卉原中学",2013
"36","男","人文学院","河南","淮滨高中",2013
"37","男","人文学院","河南","河南师大附中",2013
"38","男","人文学院","河南","汝阳县第一高中",2013
"39","男","人文学院","浙江","上虞市春晖中学",2013
"40","男","人文学院","湖北","恩施市第一中学",2013
"41","男","人文学院","湖南","明德中学",2013
"42","男","人文学院","辽宁","大连开发区第一高级中学",2013
"43","女","化学工程系","云南","云南师范大学附属中学",2013
"44","女","化学工程系","内蒙古","林东一中",2013
"45","女","化学工程系","内蒙古","鄂尔多斯市第一中学",2013
"46","女","化学工程系","四川","绵阳东辰国际学校",2013
"47","女","化学工程系","四川","四川省绵阳中学",2013
"48","女","化学工程系","四川","攀枝花市第七高级中学校",2013
"49","女","化学工程系","天津","蓟县一中",2013
"50","女","化学工程系","宁夏","固原一中",2013
