province,2013gaokaopop,univ211,univ211percapita,province_en,region_en,region
黑龙江,20.8,4,19.2307692307692,Heilongjiang,dongbei,东北
吉林,15.5,3,19.3548387096774,Jilin,dongbei,东北
辽宁,25.4,4,15.748031496063,Liaoning,dongbei,东北
北京,7.27,26,357.634112792297,Beijing,huabei,华北
河北,44.98,1,2.22321031569586,Hebei,huabei,华北
内蒙古,19.3,1,5.18134715025907,Inner Mongolia,huabei,华北
山西,35.8,1,2.79329608938548,Shanxi,huabei,华北
天津,6.3,4,63.4920634920635,Tianjin,huabei,华北
安徽,51.1,3,5.87084148727984,Anhui,huadong,华东
福建,25.5,2,7.84313725490196,Fujian,huadong,华东
江苏,45.1,11,24.390243902439,Jiangsu,huadong,华东
山东,50.9,3,5.89390962671906,Shandong,huadong,华东
上海,5.3,9,169.811320754717,Shanghai,huadong,华东
浙江,31.3,1,3.19488817891374,Zhejiang,huadong,华东
广东,72.7,4,5.50206327372765,Guangdong,huanan,华南
广西,29.8,1,3.35570469798658,Guangxi,huanan,华南
海南,5.6,1,17.8571428571429,Hainan,huanan,华南
河南,71.63,1,1.39606310205221,Henan,huazhong,华中
湖北,43.8,7,15.9817351598174,Hubei,huazhong,华中
湖南,37.3,4,10.7238605898123,Hunan,huazhong,华中
江西,27.43,1,3.64564345607,Jiangxi,huazhong,华中
甘肃,28.3,1,3.53356890459364,Gansu,xibei,西北
宁夏,5.87,1,17.0357751277683,Ningxia,xibei,西北
青海,3.945,1,25.3485424588086,Qinghai,xibei,西北
陕西,36.65,7,19.0995907230559,Shaanxi,xibei,西北
新疆,15.87,2,12.6023944549464,Xinjiang,xibei,西北
重庆,23.5,2,8.51063829787234,Chongqing,xinan,西北
贵州,24.78,1,4.03551251008878,Guizhou,xinan,西北
四川,54,5,9.25925925925926,Sichuan,xinan,西北
西藏,1.89,1,52.9100529100529,Tibet,xinan,西北
云南,23.6,1,4.23728813559322,Yunnan,xinan,西北
